Linea;registros;mae;rmse;r2;demanda_media_real;demanda_media_predicha
164;31;210.58;253.72;0.8541;2223.71;2234.48
177;31;208.35;298.71;0.9039;2489.23;2441.0
173;31;207.65;325.42;0.9526;3124.35;3086.58
41;31;197.26;248.56;0.9335;3254.06;3345.84
108;31;195.52;234.43;0.683;2260.74;2332.65
135;31;193.55;310.04;0.8379;1759.97;1723.52
159;31;191.26;302.86;0.9392;2923.29;2917.19
310;31;188.42;273.07;0.9584;3522.06;3471.77
76;31;184.94;257.54;0.944;3397.55;3416.23
456;20;181.5;239.52;-0.855;1210.4;1123.3
518;31;176.29;249.43;0.8039;953.55;992.42
529;31;173.0;237.54;0.7707;603.68;600.29
160;31;167.16;237.64;0.9237;2198.42;2184.35
519;31;159.68;234.88;0.7894;816.48;856.87
179;31;159.06;204.74;0.1977;1277.19;1250.39
530;31;158.26;216.68;0.7741;599.9;593.84
88;31;157.58;235.86;0.6659;1267.06;1202.32
523;31;154.29;234.22;0.8381;857.0;899.87
215;31;152.71;220.23;0.6082;991.94;971.81
516;31;149.55;225.33;0.7681;998.45;1054.19
601;25;147.4;191.35;-0.6684;690.32;705.16
526;31;142.29;239.27;0.7252;851.74;896.55
517;31;134.84;213.09;0.7149;955.74;1022.52
362;31;134.35;188.27;0.4209;1192.61;1236.58
505;31;134.19;212.04;0.7609;918.48;1000.23
452;20;132.65;154.8;-0.4844;700.3;617.55
506;31;122.77;198.94;0.6837;845.29;910.19
524;31;122.39;185.06;0.8229;662.61;691.9
522;31;113.84;161.19;0.7855;648.35;682.06
525;31;113.29;190.61;0.6335;796.65;867.94
508;31;109.03;190.99;0.5012;450.81;523.13
514;31;107.55;179.47;0.6433;723.29;786.0
33;31;106.45;128.46;-0.0167;727.84;772.03
502;31;106.16;162.0;0.6896;449.06;492.19
501;31;105.19;153.16;0.5883;332.45;366.42
515;31;103.84;166.39;0.7188;742.39;804.74
110;31;100.77;132.04;-0.3026;704.61;743.06
510;31;98.32;157.27;0.6841;726.39;787.87
721;3;96.67;125.48;-5.1457;735.0;823.67
509;31;91.32;153.57;0.5632;595.26;646.52
898;31;89.84;118.29;0.431;419.58;374.58
163;31;87.13;108.58;0.4719;365.16;363.39
507;31;84.35;137.46;0.6654;536.1;573.68
520;31;83.61;128.69;0.6961;360.58;389.55
101;31;82.29;108.57;0.5022;733.29;745.58
504;31;82.0;128.74;0.752;496.58;528.97
503;31;76.84;125.13;0.4509;274.1;316.61
511;31;72.32;99.25;0.8259;716.19;749.87
513;31;67.81;114.99;0.7929;647.23;686.52
512;31;67.29;117.22;0.6536;429.29;461.23
528;31;57.74;70.31;0.6085;146.71;168.19
704;6;45.5;75.79;-6.5107;97.33;139.83
833;20;45.15;53.81;-0.0864;157.0;138.55
527;31;43.03;81.58;-0.6059;267.03;286.77
709;31;38.39;46.58;0.3703;125.58;129.45
702;11;35.73;42.39;0.3223;130.45;148.36
832;31;35.48;45.73;0.0093;332.94;316.68
531;31;35.35;38.61;-2.6388;31.77;65.77
603;31;29.0;37.48;0.2724;166.61;159.23
730;31;21.26;26.08;-1.0889;214.65;211.97
718;20;20.25;24.59;-0.6597;120.9;118.65
766;31;12.97;17.08;-2.9008;206.0;204.45
